Summary,Type,Project key,Assignee,Priority,Epic Name,Story Points,Description,Acceptance Criteria
[E1-1] Organization Registration & Setup,Story,PSYCH,,High,Foundation - Multi-Tenant Platform,8,"As an organization administrator, I want to register my organization on the platform with custom branding, So that my team has a dedicated workspace with our company identity.","AC1: No org exists - Complete registration form - New org created with isolated DB, user assigned Super Admin
AC2: Org admin - Upload logo/color - Branding applied to pages, included in PDF reports
AC3: Org created - System initializes - Default roles created, audit logging enabled"
[E1-2] User Invitation & Management,Story,PSYCH,,High,Foundation - Multi-Tenant Platform,8,"As an organization admin, I want to invite team members and manage their accounts, So that the right people have access to the platform.","AC1: Org admin - Enter email/role - Invitation sent, unique link valid 7 days, user pending
AC2: User receives email - Click link - Auto-added to org, assigned role, status active
AC3: Org admin in user mgmt - View list - All users displayed, can deactivate (soft delete)
AC4: User deactivated - Try login - Receive not found message, data remains intact"
[E1-3] Role-Based Access Control Implementation,Story,PSYCH,,High,Foundation - Multi-Tenant Platform,13,"As a platform architect, I want RBAC to enforce permissions based on user roles, So that users only access features and data appropriate to their role.","AC1: HR Manager - Make API request - RBAC middleware checks permission - Proceeds or 403
AC2: RBAC defined - Candidate tries Create Assessment - Request rejected with 403, logged
AC3: Super Admin - Create custom role - Permissions saved, users assignable
AC4: Org Admin - View role mgmt - See permission matrix, modify (except Super Admin)"
[E1-4] Audit Logging for Compliance,Story,PSYCH,,High,Foundation - Multi-Tenant Platform,13,"As a compliance officer, I want comprehensive audit logs of all critical actions, So that we can demonstrate compliance with GDPR and SOC 2.","AC1: Sensitive action - Completes - Log created: timestamp, user, action, resource, result, IP
AC2: Org admin - Filter logs by date/action - Matching logs displayed, can export CSV
AC3: Sensitive operation - Logged - Entry includes before/after values, user identified
AC4: Logs >90 days - Retention policy runs - Older logs archived, current logs searchable"
[E1-5] Multi-Tenant Data Isolation,Story,PSYCH,,High,Foundation - Multi-Tenant Platform,13,"As a security architect, I want to ensure organizations' data is completely isolated, So that no data leaks between organizations.","AC1: Org A user - Make API request - Query auto-includes WHERE org_id, no other org data
AC2: Two orgs - Same user name - Each sees only their John Smith, no inference possible
AC3: Org Admin - Try access other org data - Request fails with unauthorized, logged
AC4: Prisma query - Multi-tenant table - Middleware adds org_id filter, dev can't bypass"
[E1-6] Session Management & Token Refresh,Story,PSYCH,,High,Foundation - Multi-Tenant Platform,13,"As a security engineer, I want secure JWT token management with refresh capability, So that user sessions are secure and long-lasting without security risk.","AC1: User login - Correct credentials - Access token 15-30min, refresh token 7 days, stored securely
AC2: Access token expires - API request - 401 Unauthorized, client can use refresh token
AC3: User refresh - Valid token - New access token + refresh token issued, old invalidated
AC4: User logout - Logout request - Refresh token revoked, old token fails, session logged"
[E2-1] Question Bank CRUD Operations,Story,PSYCH,,High,Assessment Management & Core Engine,8,"As an assessment creator, I want to create and organize a question bank, So that I can reuse questions across multiple assessments.","AC1: HR Manager - Create New Question - Form opens, question saved with UUID/timestamp
AC2: Multiple Choice - Add options - Correct answer marked internally (hidden)
AC3: View question bank - Search/filter - Matching questions displayed, edit available
AC4: Try delete question - Used in assessments - System prevents, offers deprecate option"
[E2-2] Assessment Creation & Configuration,Story,PSYCH,,High,Assessment Management & Core Engine,21,"As an HR Manager, I want to create assessments by selecting questions and configuring settings, So that I can tailor assessments to specific roles or skill levels.","AC1: Click Create - Enter details - Assessment created in draft status
AC2: Assessment builder - Search/add questions - Questions editable, order/randomization set
AC3: Configure settings - Set time limit - Setting saved, enforced in delivery
AC4: Review preview - Check assessment - See as candidates will, identify issues
AC5: Publish assessment - Status active - Appears in invitations, versions managed (v1.0)"
[E2-3] Assessment Versioning,Story,PSYCH,,High,Assessment Management & Core Engine,13,"As an assessment designer, I want to create new versions of assessments, So that I can improve assessments without breaking historical data.","AC1: Published assessment - Create New Version - Draft v1.1 created, questions copied
AC2: Modify v1.1 - Publish - v1.1 active, v1.0 archived, new invites use v1.1
AC3: View reports - Candidates v1.0 - Report shows version, scoring from that version
AC4: View history - Select All Versions - All versions shown (active/archived/draft), can restore"
[E2-4] Question Randomization,Story,PSYCH,,High,Assessment Management & Core Engine,8,"As an assessment administrator, I want to randomize question order, So that candidates cannot predictably memorize the assessment.","AC1: Enable Randomize - Assessment configured - Flag set in config
AC2: Candidate accesses - Randomization enabled - Questions in random order (seeded by session)
AC3: Two candidates - Same assessment - Questions may differ per candidate, both scored correctly
AC4: Reports generated - Randomization enabled - Report shows actual order, consistent scoring"
